,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
8,7961,True,h,2017-10-22 19:45:00,w,150,Real Madrid,RMA,156,Eibar,EIB,3,0,1.54139,0.359568,0.6724682531050628,0.24444876342598088,0.08308298334970007
9,7973,True,a,2017-10-29 15:15:00,l,223,Girona,GIR,150,Real Madrid,RMA,2,1,2.26046,1.58248,0.5307396324859351,0.2009506338661612,0.26830971441289436
10,7983,True,h,2017-11-05 19:45:00,w,150,Real Madrid,RMA,144,Las Palmas,LPL,3,0,2.53038,0.127029,0.8943761519029383,0.09454902563097531,0.011074741880252044
11,7994,True,a,2017-11-18 19:45:00,d,143,Atletico Madrid,ATL,150,Real Madrid,RMA,0,0,0.745518,1.41229,0.19765424906756124,0.2733053307948818,0.5290404201013359
12,8004,True,h,2017-11-25 15:15:00,w,150,Real Madrid,RMA,137,Malaga,MAL,3,2,3.0172,0.540736,0.8621132419348909,0.0977677377505718,0.040118301436949236
13,8015,True,a,2017-12-02 19:45:00,d,147,Athletic Club,ATH,150,Real Madrid,RMA,0,0,1.34381,1.88247,0.2742565843023358,0.2246504034793361,0.5010930104590224
14,8025,True,h,2017-12-09 15:15:00,w,150,Real Madrid,RMA,138,Sevilla,SEV,5,0,3.5353,0.381749,0.9261793395783569,0.05729760868373283,0.016518253822075554
15,8046,True,h,2017-12-23 12:00:00,l,150,Real Madrid,RMA,148,Barcelona,BAR,0,3,1.30012,3.70518,0.08744112034154797,0.1063341198420709,0.8062164662185903
16,8056,True,a,2018-01-07 19:45:00,d,152,Celta Vigo,CEL,150,Real Madrid,RMA,2,2,2.01847,1.95926,0.40767094361755496,0.20755509550994636,0.38477395355177535
17,8060,True,h,2018-01-13 15:15:00,l,150,Real Madrid,RMA,154,Villarreal,VIL,0,1,2.3468,0.858724,0.7058580698450183,0.17386553861831033,0.12027636066213579
18,8078,True,h,2018-01-21 15:15:00,w,150,Real Madrid,RMA,139,Deportivo La Coruna,DEP,7,1,3.18339,1.84318,0.6436401227794749,0.15560653240259847,0.20075196571724513
19,8088,True,a,2018-01-27 15:15:00,w,146,Valencia,VAL,150,Real Madrid,RMA,1,4,1.41068,2.70685,0.18082556022436605,0.1700492727640951,0.6491249788814417
20,8089,True,a,2018-02-03 19:45:00,d,151,Levante,LEV,150,Real Madrid,RMA,2,2,1.31943,1.31592,0.3698958979619939,0.2618431862941564,0.3682609157158866
21,8100,True,h,2018-02-10 19:45:00,w,150,Real Madrid,RMA,140,Real Sociedad,SOC,5,2,5.307,0.981956,0.9470677164911393,0.03438983239884069,0.018124712160545536
